# This file is generated on 26-Oct-2022 at 15:56:18 and contains for each site, each satellite, frequency:
# att_vap = attenuation due to water vapor (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to water vapor results are sorted acording to the site identification number:
#    _ 1 = Houston (Lat = 2.9560e+01 deg, Lon = -9.5100e+01 deg, Alt = 5.0000e-03 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), att_vap (dB)
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.6110e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.5239e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.4562e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.4045e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.3663e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.3401e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.3248e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.3198e-01
